task,method_a,method_b,n_common_datasets,frac_A_faster,frac_A_better_loss,frac_A_dominates_both,frac_tie_speed,frac_tie_loss,wilcoxon_speed_diff_pvalue,wilcoxon_loss_diff_pvalue,loss_column
regression,block_rank|,secretary_all|1overe,104,0.9230769230769231,0.11538461538461539,0.057692307692307696,0.0,0.0,4.153354590025559e-18,2.319329063328183e-16,loss_rmse_bounded_median
regression,block_rank|,secretary|1overe,104,0.47115384615384615,0.5480769230769231,0.36538461538461536,0.0,0.0,7.114042911953007e-05,0.059555356961969126,loss_rmse_bounded_median
regression,block_rank|,double_secretary|1overe,104,0.75,0.49038461538461536,0.4230769230769231,0.0,0.0,0.0022044426939580018,0.28456239493308566,loss_rmse_bounded_median
regression,block_rank|,prophet_1sample|,104,1.0,0.34615384615384615,0.34615384615384615,0.0,0.0,8.530137789278572e-19,4.5327060659483145e-06,loss_rmse_bounded_median
regression,secretary_all|1overe,prophet_1sample|,104,0.9807692307692307,0.5096153846153846,0.5,0.0,0.0,2.7842506753340804e-18,0.3536966133691729,loss_rmse_bounded_median
classification_gini,block_rank|,secretary_all|1overe,104,0.7788461538461539,0.47115384615384615,0.33653846153846156,0.0,0.019230769230769232,6.6480393664762076e-12,0.14053348529173407,loss_f1_median
classification_gini,block_rank|,secretary|1overe,104,0.6057692307692307,0.8461538461538461,0.4807692307692308,0.0,0.009615384615384616,0.7043845628177714,1.242335636766597e-13,loss_f1_median
classification_gini,block_rank|,double_secretary|1overe,104,0.5384615384615384,0.7788461538461539,0.46153846153846156,0.0,0.0,0.3604690450388045,1.2230063754722895e-11,loss_f1_median
classification_gini,block_rank|,prophet_1sample|,104,0.9903846153846154,0.6730769230769231,0.6634615384615384,0.0,0.0,9.581028252399463e-19,0.0030695752378014727,loss_f1_median
classification_gini,secretary_all|1overe,prophet_1sample|,104,0.9326923076923077,0.7115384615384616,0.6538461538461539,0.0,0.0,7.538369194246756e-18,8.370898678670185e-05,loss_f1_median
classification_entropy,block_rank|,secretary_all|1overe,104,0.8461538461538461,0.34615384615384615,0.27884615384615385,0.0,0.019230769230769232,3.670086871866319e-12,0.016165385309097145,loss_f1_median
classification_entropy,block_rank|,secretary|1overe,104,0.5576923076923077,0.8173076923076923,0.41346153846153844,0.0,0.009615384615384616,0.3470051653300026,1.4425326845292714e-12,loss_f1_median
classification_entropy,block_rank|,double_secretary|1overe,104,0.4519230769230769,0.7403846153846154,0.36538461538461536,0.0,0.0,0.31789900577436503,5.3735867392116916e-11,loss_f1_median
classification_entropy,block_rank|,prophet_1sample|,104,0.9903846153846154,0.6153846153846154,0.6057692307692307,0.0,0.0,1.045217793408392e-18,0.07088027617710128,loss_f1_median
classification_entropy,secretary_all|1overe,prophet_1sample|,104,0.9326923076923077,0.6923076923076923,0.6442307692307693,0.0,0.0,5.51978926781621e-18,0.002535655725354749,loss_f1_median
