,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.29508196721311475,0.8852459016393442,0.9426229508196722,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983
speedup≥5%,0.2786885245901639,0.8524590163934426,0.9098360655737705,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213
speedup≥10%,0.22950819672131148,0.7622950819672131,0.819672131147541,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918
speedup≥15%,0.20491803278688525,0.6639344262295082,0.7213114754098361,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869
speedup≥20%,0.1885245901639344,0.6229508196721312,0.680327868852459,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098,0.6967213114754098
speedup≥25%,0.1557377049180328,0.5655737704918032,0.6147540983606558,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066,0.6311475409836066
speedup≥30%,0.11475409836065574,0.5163934426229508,0.5655737704918032,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541,0.5819672131147541
speedup≥35%,0.10655737704918032,0.48360655737704916,0.5327868852459017,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525,0.5491803278688525
speedup≥40%,0.10655737704918032,0.47540983606557374,0.5163934426229508,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017,0.5327868852459017
speedup≥45%,0.09836065573770492,0.4426229508196721,0.48360655737704916,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
speedup≥50%,0.09836065573770492,0.4344262295081967,0.47540983606557374,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246,0.4918032786885246
