,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.11504424778761062,0.30973451327433627,0.4336283185840708,0.5398230088495575,0.6017699115044248,0.7345132743362832,0.7876106194690266,0.8584070796460177,0.9380530973451328,0.9646017699115044,0.9734513274336283
speedup≥5%,0.10619469026548672,0.3008849557522124,0.4247787610619469,0.5309734513274337,0.5929203539823009,0.7256637168141593,0.7787610619469026,0.8495575221238938,0.9292035398230089,0.9557522123893806,0.9646017699115044
speedup≥10%,0.10619469026548672,0.3008849557522124,0.4247787610619469,0.5309734513274337,0.5929203539823009,0.7256637168141593,0.7787610619469026,0.8495575221238938,0.9292035398230089,0.9557522123893806,0.9646017699115044
speedup≥15%,0.07079646017699115,0.21238938053097345,0.336283185840708,0.4424778761061947,0.504424778761062,0.6371681415929203,0.6902654867256637,0.7610619469026548,0.8407079646017699,0.8672566371681416,0.8761061946902655
speedup≥20%,0.05309734513274336,0.19469026548672566,0.3185840707964602,0.4247787610619469,0.4778761061946903,0.6106194690265486,0.6637168141592921,0.7345132743362832,0.8141592920353983,0.8407079646017699,0.8495575221238938
speedup≥25%,0.04424778761061947,0.1592920353982301,0.26548672566371684,0.34513274336283184,0.39823008849557523,0.5221238938053098,0.5752212389380531,0.6460176991150443,0.7256637168141593,0.7522123893805309,0.7610619469026548
speedup≥30%,0.02654867256637168,0.12389380530973451,0.23008849557522124,0.3008849557522124,0.35398230088495575,0.4778761061946903,0.5309734513274337,0.6017699115044248,0.6814159292035398,0.7079646017699115,0.7168141592920354
speedup≥35%,0.02654867256637168,0.11504424778761062,0.20353982300884957,0.26548672566371684,0.30973451327433627,0.4247787610619469,0.4778761061946903,0.5486725663716814,0.6283185840707964,0.6548672566371682,0.6637168141592921
speedup≥40%,0.02654867256637168,0.11504424778761062,0.20353982300884957,0.24778761061946902,0.2920353982300885,0.40707964601769914,0.46017699115044247,0.5309734513274337,0.6106194690265486,0.6371681415929203,0.6460176991150443
speedup≥45%,0.017699115044247787,0.08849557522123894,0.17699115044247787,0.22123893805309736,0.26548672566371684,0.3805309734513274,0.4336283185840708,0.504424778761062,0.584070796460177,0.6106194690265486,0.6194690265486725
speedup≥50%,0.017699115044247787,0.07964601769911504,0.1592920353982301,0.18584070796460178,0.23008849557522124,0.34513274336283184,0.39823008849557523,0.4690265486725664,0.5486725663716814,0.5752212389380531,0.584070796460177
