,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.8360655737704918,0.22950819672131148,0.14754098360655737,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥5%,0.8360655737704918,0.22950819672131148,0.14754098360655737,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥10%,0.8032786885245902,0.22131147540983606,0.13934426229508196,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥15%,0.7868852459016393,0.22131147540983606,0.13934426229508196,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥20%,0.7459016393442623,0.22131147540983606,0.13934426229508196,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥25%,0.7213114754098361,0.20491803278688525,0.13934426229508196,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥30%,0.6967213114754098,0.20491803278688525,0.13934426229508196,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥35%,0.6885245901639344,0.19672131147540983,0.13114754098360656,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥40%,0.6721311475409836,0.19672131147540983,0.13114754098360656,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥45%,0.6639344262295082,0.19672131147540983,0.13114754098360656,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥50%,0.6475409836065574,0.19672131147540983,0.13114754098360656,0.05737704918032787,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0
