,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.7131147540983607,0.22131147540983606,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥5%,0.6639344262295082,0.21311475409836064,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥10%,0.6475409836065574,0.21311475409836064,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥15%,0.639344262295082,0.21311475409836064,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥20%,0.6229508196721312,0.21311475409836064,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥25%,0.5983606557377049,0.21311475409836064,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥30%,0.5983606557377049,0.21311475409836064,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥35%,0.5819672131147541,0.20491803278688525,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥40%,0.5573770491803278,0.20491803278688525,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥45%,0.5409836065573771,0.19672131147540983,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
speedup≥50%,0.5245901639344263,0.19672131147540983,0.10655737704918032,0.04918032786885246,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0
