task,variant,n_datasets,centroid_loss_pct,centroid_effort_saved_pct,median_loss_pct,centroid_loss_pct_ci_low,centroid_loss_pct_ci_high,centroid_effort_saved_pct_ci_low,centroid_effort_saved_pct_ci_high,on_full_effort_loss_frontier
classification_entropy,"samples=0.1n,q=0.5",122,0.5866220665081562,28.324792341554133,0.4582273748456045,0.20450297691302696,0.9803859198019831,21.68318140443266,35.02259755630672,False
classification_entropy,"samples=0.1n,q=0.75",122,0.4219683634404563,22.904298525924904,0.4900292369171083,0.05403418519025515,0.7757453524286957,15.653950420540994,29.862148129521845,False
classification_entropy,"samples=0.1n,q=0.9",122,0.36625486872168883,20.131848593796686,0.38536506469127874,0.03614083575751704,0.6795288192682698,13.289845465882406,26.70090665253415,False
classification_entropy,"samples=0.1n,q=0.95",122,0.35410805623132124,18.309666518084892,0.3083348194356378,0.020563383683325293,0.6743494238613238,11.584426240584683,24.618802977818895,False
classification_entropy,"samples=10,q=0.5",122,0.5472757417136355,15.693388498231005,0.37556906528462275,0.1782573860883373,0.9388405626241122,8.809749762896473,22.748369380704666,False
classification_entropy,"samples=10,q=0.75",122,0.27059636934324716,10.48106149447262,0.39668660022558755,-0.04396830830818361,0.573036785816046,3.2694479405745307,17.491677678114968,False
classification_entropy,"samples=10,q=0.9",122,0.3356275447538072,4.032394094787853,0.39086683645665893,-0.0030073182662610784,0.6656732696074287,-3.576414614315656,11.44510599886553,False
classification_entropy,"samples=10,q=0.95",122,0.46975297610939365,-0.43732356331188454,0.4328114740211081,0.10939067323632744,0.8200494273043044,-8.333775024184941,7.390657243497567,False
classification_entropy,"samples=2,q=0.5",122,0.4724592729460985,25.273696059933,0.335142729052465,0.13989044030242867,0.8148819036528371,18.167423697129546,32.28505226679414,False
classification_entropy,"samples=2,q=0.75",122,0.3141576925486126,21.168551205108397,0.45675388596106425,-0.034583864497684864,0.6458848845316629,13.754688250482273,28.568519856254404,False
classification_entropy,"samples=2,q=0.9",122,0.5741997921546446,14.291342451008159,0.4937587061034948,0.2137191505963133,0.9406372600757001,5.904880742423815,22.23711146922107,False
classification_entropy,"samples=2,q=0.95",122,0.6415997067459466,12.957885095575284,0.5651377073815689,0.27160679077152505,0.9987510195799006,4.498286684976273,21.086495917645014,False
