task,dataset,variant,loss_pct,effort_saved_pct,n_paired_runs,sample_budget,q
regression,1029_LEV,"samples=sqrt_n,q=0.5",0.0,7.405566600397612,100,sqrt_n,0.5
regression,1029_LEV,"samples=sqrt_n,q=0.75",0.0,7.405566600397612,100,sqrt_n,0.75
regression,1029_LEV,"samples=sqrt_n,q=0.9",0.0,7.405566600397612,100,sqrt_n,0.9
regression,1029_LEV,"samples=sqrt_n,q=0.95",0.0,7.405566600397612,100,sqrt_n,0.95
regression,1030_ERA,"samples=0.1n,q=0.5",0.0,37.757625721352014,100,0.1n,0.5
regression,1030_ERA,"samples=0.1n,q=0.75",0.0,37.757625721352014,100,0.1n,0.75
regression,1030_ERA,"samples=0.1n,q=0.9",0.0,37.757625721352014,100,0.1n,0.9
regression,1030_ERA,"samples=0.1n,q=0.95",0.0,37.757625721352014,100,0.1n,0.95
regression,1030_ERA,"samples=10,q=0.5",0.0,13.58762886597938,100,10,0.5
regression,1030_ERA,"samples=10,q=0.75",0.0,10.698812690696151,100,10,0.75
regression,1030_ERA,"samples=10,q=0.9",0.0,10.391752577319586,100,10,0.9
regression,1030_ERA,"samples=10,q=0.95",0.0,12.72164948453608,100,10,0.95
regression,1030_ERA,"samples=2,q=0.5",0.0,28.13855058175606,100,2,0.5
regression,1030_ERA,"samples=2,q=0.75",0.0,26.74226804123712,100,2,0.75
regression,1030_ERA,"samples=2,q=0.9",0.0,27.649484536082475,100,2,0.9
regression,1030_ERA,"samples=2,q=0.95",0.0,28.056050857973332,100,2,0.95
regression,1030_ERA,"samples=ln_n,q=0.5",0.0,15.76669414674361,100,ln_n,0.5
regression,1030_ERA,"samples=ln_n,q=0.75",0.0,12.554083341124073,100,ln_n,0.75
regression,1030_ERA,"samples=ln_n,q=0.9",0.0,12.615947510220039,100,ln_n,0.9
regression,1030_ERA,"samples=ln_n,q=0.95",0.0,14.512480771028635,100,ln_n,0.95
regression,1030_ERA,"samples=sqrt_n,q=0.5",0.0,37.757625721352014,100,sqrt_n,0.5
regression,1030_ERA,"samples=sqrt_n,q=0.75",0.0,37.757625721352014,100,sqrt_n,0.75
regression,1030_ERA,"samples=sqrt_n,q=0.9",0.0,37.757625721352014,100,sqrt_n,0.9
regression,1030_ERA,"samples=sqrt_n,q=0.95",0.0,37.757625721352014,100,sqrt_n,0.95
regression,1089_USCrime,"samples=0.1n,q=0.5",11.912427495142285,48.7374104670139,100,0.1n,0.5
regression,1089_USCrime,"samples=0.1n,q=0.75",9.419554692381578,47.2932976895169,100,0.1n,0.75
regression,1089_USCrime,"samples=0.1n,q=0.9",8.563448232785598,45.332190093403824,100,0.1n,0.9
regression,1089_USCrime,"samples=0.1n,q=0.95",9.238057386610055,44.92552988352111,100,0.1n,0.95
regression,1089_USCrime,"samples=10,q=0.5",9.664918384827082,24.016612564445296,100,10,0.5
regression,1089_USCrime,"samples=10,q=0.75",6.2676859724014875,17.766964270659066,100,10,0.75
regression,1089_USCrime,"samples=10,q=0.9",5.392666933577312,13.31328809193626,100,10,0.9
regression,1089_USCrime,"samples=10,q=0.95",6.366964287186722,11.560853825720786,100,10,0.95
regression,1089_USCrime,"samples=2,q=0.5",14.448942057086384,43.267622049626326,100,2,0.5
regression,1089_USCrime,"samples=2,q=0.75",12.20888897028466,40.295954024376286,100,2,0.75
regression,1089_USCrime,"samples=2,q=0.9",10.45223117515005,37.6622756777396,100,2,0.9
regression,1089_USCrime,"samples=2,q=0.95",12.004117782759849,37.45464960855452,100,2,0.95
regression,1089_USCrime,"samples=ln_n,q=0.5",11.088804661455537,34.381861575179,100,ln_n,0.5
regression,1089_USCrime,"samples=ln_n,q=0.75",7.0863177548214304,29.406148558334927,100,ln_n,0.75
regression,1089_USCrime,"samples=ln_n,q=0.9",6.434598690534015,25.248186330660555,100,ln_n,0.9
regression,1089_USCrime,"samples=ln_n,q=0.95",8.052310257265171,24.355547068932605,100,ln_n,0.95
regression,1089_USCrime,"samples=sqrt_n,q=0.5",11.87438459890907,47.03326978999709,100,sqrt_n,0.5
regression,1089_USCrime,"samples=sqrt_n,q=0.75",9.296921271171948,44.39087263700593,100,sqrt_n,0.75
regression,1089_USCrime,"samples=sqrt_n,q=0.9",6.767246700605078,41.866338349554525,100,sqrt_n,0.9
regression,1089_USCrime,"samples=sqrt_n,q=0.95",9.314026033373851,41.481696465802585,100,sqrt_n,0.95
regression,1096_FacultySalaries,"samples=0.1n,q=0.5",9.54272025727127,44.41902390246716,100,0.1n,0.5
regression,1096_FacultySalaries,"samples=0.1n,q=0.75",8.672953637279246,43.15841213920005,100,0.1n,0.75
regression,1096_FacultySalaries,"samples=0.1n,q=0.9",8.395526133323688,41.853242441141205,100,0.1n,0.9
regression,1096_FacultySalaries,"samples=0.1n,q=0.95",9.152615320229629,41.02270713359938,100,0.1n,0.95
regression,1096_FacultySalaries,"samples=10,q=0.5",5.305164284575659,27.385620915032682,100,10,0.5
regression,1096_FacultySalaries,"samples=10,q=0.75",6.742688110473677,24.489129312318813,100,10,0.75
regression,1096_FacultySalaries,"samples=10,q=0.9",10.433579754459604,20.5718954248366,100,10,0.9
regression,1096_FacultySalaries,"samples=10,q=0.95",14.164330209329744,17.92483660130719,100,10,0.95
regression,1096_FacultySalaries,"samples=2,q=0.5",9.343775272280585,40.08501540768633,100,2,0.5
regression,1096_FacultySalaries,"samples=2,q=0.75",8.7917598213617,38.47034465960297,100,2,0.75
regression,1096_FacultySalaries,"samples=2,q=0.9",10.606041623389467,38.574691049299595,100,2,0.9
regression,1096_FacultySalaries,"samples=2,q=0.95",10.282221972215183,38.12715933055144,100,2,0.95
regression,1096_FacultySalaries,"samples=ln_n,q=0.5",10.240935643273762,34.41740540609836,100,ln_n,0.5
regression,1096_FacultySalaries,"samples=ln_n,q=0.75",8.232483174033394,31.100947402809545,100,ln_n,0.75
regression,1096_FacultySalaries,"samples=ln_n,q=0.9",10.4897362662219,28.685832082996704,100,ln_n,0.9
regression,1096_FacultySalaries,"samples=ln_n,q=0.95",12.343636690658528,28.26337242944657,100,ln_n,0.95
regression,1096_FacultySalaries,"samples=sqrt_n,q=0.5",8.71402635525465,43.45267938521482,100,sqrt_n,0.5
regression,1096_FacultySalaries,"samples=sqrt_n,q=0.75",9.35259393938913,42.007175008656176,100,sqrt_n,0.75
regression,1096_FacultySalaries,"samples=sqrt_n,q=0.9",9.998469690941198,40.032694693568146,100,sqrt_n,0.9
regression,1096_FacultySalaries,"samples=sqrt_n,q=0.95",10.460982213486343,39.222120566146955,100,sqrt_n,0.95
regression,1193_BNG_lowbwt,"samples=0.1n,q=0.5",-1.6797380333176681,53.72829377125235,100,0.1n,0.5
regression,1193_BNG_lowbwt,"samples=0.1n,q=0.75",-1.5467599591399983,50.940631926375644,100,0.1n,0.75
regression,1193_BNG_lowbwt,"samples=0.1n,q=0.9",-1.4220936636138992,46.81961050537589,100,0.1n,0.9
regression,1193_BNG_lowbwt,"samples=0.1n,q=0.95",-1.28686849615256,43.977365809000666,100,0.1n,0.95
regression,1193_BNG_lowbwt,"samples=10,q=0.5",-1.6227636285960578,51.48078167375651,100,10,0.5
regression,1193_BNG_lowbwt,"samples=10,q=0.75",-1.3014247068917961,48.21087630267486,100,10,0.75
regression,1193_BNG_lowbwt,"samples=10,q=0.9",-1.183294933664214,45.011148883519866,100,10,0.9
regression,1193_BNG_lowbwt,"samples=10,q=0.95",-1.334255319701949,42.55699632773029,100,10,0.95
regression,1193_BNG_lowbwt,"samples=2,q=0.5",-1.4566059805527165,53.91822058398381,100,2,0.5
regression,1193_BNG_lowbwt,"samples=2,q=0.75",-1.4482712747673654,52.56565214622998,100,2,0.75
regression,1193_BNG_lowbwt,"samples=2,q=0.9",-1.3785136686896182,51.09418451176365,100,2,0.9
regression,1193_BNG_lowbwt,"samples=2,q=0.95",-1.4383168881117903,49.665318389570345,100,2,0.95
regression,1193_BNG_lowbwt,"samples=ln_n,q=0.5",-1.6227636285960578,51.48078167375651,100,ln_n,0.5
regression,1193_BNG_lowbwt,"samples=ln_n,q=0.75",-1.3014247068917961,48.21087630267486,100,ln_n,0.75
regression,1193_BNG_lowbwt,"samples=ln_n,q=0.9",-1.183294933664214,45.011148883519866,100,ln_n,0.9
regression,1193_BNG_lowbwt,"samples=ln_n,q=0.95",-1.334255319701949,42.55699632773029,100,ln_n,0.95
regression,1193_BNG_lowbwt,"samples=sqrt_n,q=0.5",-1.6066120611756496,56.497209229890274,100,sqrt_n,0.5
regression,1193_BNG_lowbwt,"samples=sqrt_n,q=0.75",-1.6317285238366175,54.863380467104435,100,sqrt_n,0.75
regression,1193_BNG_lowbwt,"samples=sqrt_n,q=0.9",-1.697361573019196,52.69390840319938,100,sqrt_n,0.9
regression,1193_BNG_lowbwt,"samples=sqrt_n,q=0.95",-1.6990139021019646,51.01790833780751,100,sqrt_n,0.95
regression,1199_BNG_echoMonths,"samples=0.1n,q=0.5",-2.12375528038824,65.68194767034143,100,0.1n,0.5
regression,1199_BNG_echoMonths,"samples=0.1n,q=0.75",-1.6318159116915254,60.73750115666715,100,0.1n,0.75
regression,1199_BNG_echoMonths,"samples=0.1n,q=0.9",-0.8375198815405382,54.1243913311944,100,0.1n,0.9
regression,1199_BNG_echoMonths,"samples=0.1n,q=0.95",-0.5463068947066718,48.69767281480114,100,0.1n,0.95
regression,1199_BNG_echoMonths,"samples=10,q=0.5",-1.9245662963195742,62.28102617763265,100,10,0.5
regression,1199_BNG_echoMonths,"samples=10,q=0.75",-1.3681932084608661,56.47403333180081,100,10,0.75
regression,1199_BNG_echoMonths,"samples=10,q=0.9",-0.8458343331579132,48.81760246615984,100,10,0.9
regression,1199_BNG_echoMonths,"samples=10,q=0.95",-0.5833564440675842,43.97054878109107,100,10,0.95
regression,1199_BNG_echoMonths,"samples=2,q=0.5",-2.002648513825256,66.79449414799171,100,2,0.5
regression,1199_BNG_echoMonths,"samples=2,q=0.75",-1.5598564419246341,63.63893885755623,100,2,0.75
regression,1199_BNG_echoMonths,"samples=2,q=0.9",-1.3536844339448573,60.313164356145236,100,2,0.9
regression,1199_BNG_echoMonths,"samples=2,q=0.95",-1.4575956775278898,58.367650216871446,100,2,0.95
regression,1199_BNG_echoMonths,"samples=ln_n,q=0.5",-1.9245662963195742,62.28102617763265,100,ln_n,0.5
regression,1199_BNG_echoMonths,"samples=ln_n,q=0.75",-1.3681932084608661,56.47403333180081,100,ln_n,0.75
