task,dataset,method_key,splitter,variant,analysis_tier,block_length_runs,estimate_time_saved_pct,ci_low,ci_high,confidence,n_complete_paired_runs,n_bootstrap,interval_method,unit
regression,1028_SWD,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,5,30.614331472095436,27.175104098187507,32.281426933781063,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,5,16.370563547335081,13.137689184202072,17.992041628405573,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,prophet_1sample|,prophet_1sample,,confirmatory,5,-18.55941336957898,-22.318259635061686,-16.334683772231664,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary_all|0.1n,secretary_all,0.1n,exploratory,5,28.394970396566311,24.721768977406398,31.892398236648901,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary_all|1overe,secretary_all,1overe,confirmatory,5,11.133312941823636,7.1553620263373308,13.728800994953227,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary_all|ln_n,secretary_all,ln_n,exploratory,5,31.704352380601819,27.965788257054879,34.536581865156556,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary_all|sqrt_n,secretary_all,sqrt_n,exploratory,5,28.095680379126176,25.218696397938455,32.504752851711736,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary|0.1n,secretary,0.1n,exploratory,5,32.166612542342129,30.369283453817118,34.83906795499869,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary|1overe,secretary,1overe,confirmatory,5,8.159222024349976,3.4279086790878655,10.981369719234035,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary|ln_n,secretary,ln_n,exploratory,5,30.807888528755768,26.509364180092142,34.488996678429892,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1028_SWD,secretary|sqrt_n,secretary,sqrt_n,exploratory,5,28.887627672033013,21.197184189784291,32.560887096776973,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,best|,best,,confirmatory,5,0,0,0,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,block_rank|,block_rank,,confirmatory,5,21.073571917092139,17.328880798884754,24.94142150482319,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,double_secretary|0.1n,double_secretary,0.1n,exploratory,5,12.277230987357202,7.4334126385402826,16.867732652713141,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,double_secretary|1overe,double_secretary,1overe,confirmatory,5,13.06648555954717,10.384958254389854,15.305860989899923,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,double_secretary|ln_n,double_secretary,ln_n,exploratory,5,13.469163729530987,8.2723538410292115,16.826791106232498,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,5,11.549635506729651,5.3135334040796733,13.703745519206167,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,5,33.275221563822946,29.317246111627206,35.653546281759027,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,5,32.510984808706986,27.927264487620217,36.033146217592702,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,5,27.294281611929815,24.461521131227371,28.838347169600954,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,5,15.915704029229182,9.8020197409716463,19.427090356158196,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,prophet_1sample|,prophet_1sample,,confirmatory,5,-2.6875608969111342,-8.0472293244129958,0.28464832589959466,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary_all|0.1n,secretary_all,0.1n,exploratory,5,12.852527448169827,6.5443982457214496,15.017160861980239,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary_all|1overe,secretary_all,1overe,confirmatory,5,13.608067166130677,9.8234689295314421,16.830082345359244,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary_all|ln_n,secretary_all,ln_n,exploratory,5,12.083408582879695,5.554392418184432,16.20118560165761,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary_all|sqrt_n,secretary_all,sqrt_n,exploratory,5,11.357132570783946,5.7849819577279078,14.606115502983673,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary|0.1n,secretary,0.1n,exploratory,5,15.426237913354168,9.4966925510578619,18.763783349859018,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary|1overe,secretary,1overe,confirmatory,5,10.808721149533163,8.756521739121947,12.768792569798194,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary|ln_n,secretary,ln_n,exploratory,5,14.542768264986883,11.336779203261948,17.473965035332075,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1029_LEV,secretary|sqrt_n,secretary,sqrt_n,exploratory,5,16.73740923017434,12.850009481071179,17.963953819996703,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,best|,best,,confirmatory,5,0,0,0,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,block_rank|,block_rank,,confirmatory,5,21.913160444351089,15.623571021935623,24.238861515650733,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,double_secretary|0.1n,double_secretary,0.1n,exploratory,5,9.4412102778340774,-2.5313865979226469,15.572644594800334,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,double_secretary|1overe,double_secretary,1overe,confirmatory,5,12.953179046947206,9.8603721453148108,16.203297745517709,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,double_secretary|ln_n,double_secretary,ln_n,exploratory,5,12.981532447800081,4.3785772079688261,15.569484300882142,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,5,13.269519419474474,10.118004866100216,16.495546759033896,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,5,35.17005978492702,33.508900593377355,37.404486826815756,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,5,35.009852519425941,28.921731724578549,38.021788372344986,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,5,30.384147364786852,27.920413007123678,31.57144005172864,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,5,21.599312799381487,16.231211408543334,23.32393143849847,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,prophet_1sample|,prophet_1sample,,confirmatory,5,7.8583426545369317,5.688934373887566,9.496147731437155,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,secretary_all|0.1n,secretary_all,0.1n,exploratory,5,11.191191950327074,4.3548473919327808,14.465540753172036,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,secretary_all|1overe,secretary_all,1overe,confirmatory,5,13.933830064348884,7.1187788250344326,14.99152763052548,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,secretary_all|ln_n,secretary_all,ln_n,exploratory,5,14.311641068293079,10.074223990649644,16.146879506064295,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,secretary_all|sqrt_n,secretary_all,sqrt_n,exploratory,5,12.98791021792205,9.3335374566294256,15.692015509999379,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,secretary|0.1n,secretary,0.1n,exploratory,5,17.968210715916165,14.420587759518034,19.874116024308506,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
regression,1030_ERA,secretary|1overe,secretary,1overe,confirmatory,5,8.5757339837858275,4.0121827438099782,10.725450241097434,0.94999999999999996,100,10000,circular_moving_block_percentile_bootstrap,percent_training_time
